.StatusItems.management.client-capabilities.supported-versions,array,string,1.0.0
.StatusItems.management.client-capabilities.supported-payloads.declarations.activations,array,string,com.apple.activation.simple
.StatusItems.management.client-capabilities.supported-payloads.declarations.assets,array,string,com.apple.asset.credential.acme
.StatusItems.management.client-capabilities.supported-payloads.declarations.assets,array,string,com.apple.asset.credential.certificate
.StatusItems.management.client-capabilities.supported-payloads.declarations.assets,array,string,com.apple.asset.credential.identity
.StatusItems.management.client-capabilities.supported-payloads.declarations.assets,array,string,com.apple.asset.credential.scep
.StatusItems.management.client-capabilities.supported-payloads.declarations.assets,array,string,com.apple.asset.credential.userpassword
.StatusItems.management.client-capabilities.supported-payloads.declarations.assets,array,string,com.apple.asset.data
.StatusItems.management.client-capabilities.supported-payloads.declarations.assets,array,string,com.apple.asset.useridentity
.StatusItems.management.client-capabilities.supported-payloads.declarations.configurations,array,string,com.apple.configuration.legacy
.StatusItems.management.client-capabilities.supported-payloads.declarations.configurations,array,string,com.apple.configuration.legacy.interactive
.StatusItems.management.client-capabilities.supported-payloads.declarations.configurations,array,string,com.apple.configuration.management.status-subscriptions
.StatusItems.management.client-capabilities.supported-payloads.declarations.configurations,array,string,com.apple.configuration.management.test
.StatusItems.management.client-capabilities.supported-payloads.declarations.configurations,array,string,com.apple.configuration.passcode.settings
.StatusItems.management.client-capabilities.supported-payloads.declarations.configurations,array,string,com.apple.configuration.screensharing.connection
.StatusItems.management.client-capabilities.supported-payloads.declarations.configurations,array,string,com.apple.configuration.screensharing.connection.group
.StatusItems.management.client-capabilities.supported-payloads.declarations.configurations,array,string,com.apple.configuration.screensharing.host.settings
.StatusItems.management.client-capabilities.supported-payloads.declarations.configurations,array,string,com.apple.configuration.security.certificate
.StatusItems.management.client-capabilities.supported-payloads.declarations.configurations,array,string,com.apple.configuration.security.identity
.StatusItems.management.client-capabilities.supported-payloads.declarations.configurations,array,string,com.apple.configuration.services.configuration-files
.StatusItems.management.client-capabilities.supported-payloads.declarations.configurations,array,string,com.apple.configuration.softwareupdate.enforcement.specific
.StatusItems.management.client-capabilities.supported-payloads.declarations.management,array,string,com.apple.management.organization-info
.StatusItems.management.client-capabilities.supported-payloads.declarations.management,array,string,com.apple.management.properties
.StatusItems.management.client-capabilities.supported-payloads.declarations.management,array,string,com.apple.management.server-capabilities
.StatusItems.management.client-capabilities.supported-payloads.status-items,array,string,device.identifier.serial-number
.StatusItems.management.client-capabilities.supported-payloads.status-items,array,string,device.identifier.udid
.StatusItems.management.client-capabilities.supported-payloads.status-items,array,string,device.model.family
.StatusItems.management.client-capabilities.supported-payloads.status-items,array,string,device.model.identifier
.StatusItems.management.client-capabilities.supported-payloads.status-items,array,string,device.model.marketing-name
.StatusItems.management.client-capabilities.supported-payloads.status-items,array,string,device.model.number
.StatusItems.management.client-capabilities.supported-payloads.status-items,array,string,device.operating-system.build-version
.StatusItems.management.client-capabilities.supported-payloads.status-items,array,string,device.operating-system.family
.StatusItems.management.client-capabilities.supported-payloads.status-items,array,string,device.operating-system.marketing-name
.StatusItems.management.client-capabilities.supported-payloads.status-items,array,string,device.operating-system.supplemental.build-version
.StatusItems.management.client-capabilities.supported-payloads.status-items,array,string,device.operating-system.supplemental.extra-version
.StatusItems.management.client-capabilities.supported-payloads.status-items,array,string,device.operating-system.version
.StatusItems.management.client-capabilities.supported-payloads.status-items,array,string,diskmanagement.filevault.enabled
.StatusItems.management.client-capabilities.supported-payloads.status-items,array,string,management.client-capabilities
.StatusItems.management.client-capabilities.supported-payloads.status-items,array,string,management.declarations
.StatusItems.management.client-capabilities.supported-payloads.status-items,array,string,security.certificate.list
.StatusItems.management.client-capabilities.supported-payloads.status-items,array,string,services.background-task
.StatusItems.management.client-capabilities.supported-payloads.status-items,array,string,softwareupdate.failure-reason
.StatusItems.management.client-capabilities.supported-payloads.status-items,array,string,softwareupdate.install-reason
.StatusItems.management.client-capabilities.supported-payloads.status-items,array,string,softwareupdate.install-state
.StatusItems.management.client-capabilities.supported-payloads.status-items,array,string,softwareupdate.pending-version
.StatusItems.management.client-capabilities.supported-payloads.status-items,array,string,test.array-value
.StatusItems.management.client-capabilities.supported-payloads.status-items,array,string,test.boolean-value
.StatusItems.management.client-capabilities.supported-payloads.status-items,array,string,test.dictionary-value
.StatusItems.management.client-capabilities.supported-payloads.status-items,array,string,test.error-value
.StatusItems.management.client-capabilities.supported-payloads.status-items,array,string,test.integer-value
.StatusItems.management.client-capabilities.supported-payloads.status-items,array,string,test.real-value
.StatusItems.management.client-capabilities.supported-payloads.status-items,array,string,test.string-value
.StatusItems.device.identifier.udid,object,string,0000FE00-D4C83F7B9807BEF2
.StatusItems.device.identifier.serial-number,object,string,Z2FF5DLDTD
.StatusItems.device.model.family,object,string,Mac
.StatusItems.device.operating-system.family,object,string,macOS
.StatusItems.device.operating-system.build-version,object,string,23A5257q
.StatusItems.device.operating-system.supplemental.extra-version,object,string,
.StatusItems.device.operating-system.version,object,string,14.0
